Marker,Chr,bp,cM
M06_040,6,19500000,78.0
M06_041,6,20000000,80.0
M06_042,6,20500000,82.0
M06_043,6,21000000,84.0
M06_044,6,21500000,86.0
M06_045,6,22000000,88.0
M06_046,6,22500000,90.0
M06_047,6,23000000,92.0
M06_048,6,23500000,94.0
M06_049,6,24000000,96.0
M06_050,6,24500000,98.0
M07_001,7,0,0.0
M07_002,7,500000,2.0
M07_003,7,1000000,4.0
M07_004,7,1500000,6.0
M07_005,7,2000000,8.0
M07_006,7,2500000,10.0
M07_007,7,3000000,12.0
M07_008,7,3500000,14.0
M07_009,7,4000000,16.0
M07_010,7,4500000,18.0
M07_011,7,5000000,20.0
M07_012,7,5500000,22.0
M07_013,7,6000000,24.0
M07_014,7,6500000,26.0
M07_015,7,7000000,28.0
M07_016,7,7500000,30.0
M07_017,7,8000000,32.0
M07_018,7,8500000,34.0
M07_019,7,9000000,36.0
M07_020,7,9500000,38.0
M07_021,7,10000000,40.0
M07_022,7,10500000,42.0
M07_023,7,11000000,44.0
M07_024,7,11500000,46.0
M07_025,7,12000000,48.0
M07_026,7,12500000,50.0
M07_027,7,13000000,52.0
M07_028,7,13500000,54.0
M07_029,7,14000000,56.0
M07_030,7,14500000,58.0
M07_031,7,15000000,60.0
M07_032,7,15500000,62.0
M07_033,7,16000000,64.0
M07_034,7,16500000,66.0
M07_035,7,17000000,68.0
M07_036,7,17500000,70.0
M07_037,7,18000000,72.0
M07_038,7,18500000,74.0
M07_039,7,19000000,76.0
M07_040,7,19500000,78.0
M07_041,7,20000000,80.0
M07_042,7,20500000,82.0
M07_043,7,21000000,84.0
M07_044,7,21500000,86.0
M07_045,7,22000000,88.0
M07_046,7,22500000,90.0
M07_047,7,23000000,92.0
M07_048,7,23500000,94.0
M07_049,7,24000000,96.0
M07_050,7,24500000,98.0
M08_001,8,0,0.0
M08_002,8,500000,2.0
M08_003,8,1000000,4.0
M08_004,8,1500000,6.0
M08_005,8,2000000,8.0
M08_006,8,2500000,10.0
M08_007,8,3000000,12.0
M08_008,8,3500000,14.0
M08_009,8,4000000,16.0
M08_010,8,4500000,18.0
M08_011,8,5000000,20.0
M08_012,8,5500000,22.0
M08_013,8,6000000,24.0
M08_014,8,6500000,26.0
M08_015,8,7000000,28.0
M08_016,8,7500000,30.0
M08_017,8,8000000,32.0
M08_018,8,8500000,34.0
M08_019,8,9000000,36.0
M08_020,8,9500000,38.0
M08_021,8,10000000,40.0
M08_022,8,10500000,42.0
M08_023,8,11000000,44.0
M08_024,8,11500000,46.0
M08_025,8,12000000,48.0
M08_026,8,12500000,50.0
M08_027,8,13000000,52.0
M08_028,8,13500000,54.0
M08_029,8,14000000,56.0
M08_030,8,14500000,58.0
M08_031,8,15000000,60.0
M08_032,8,15500000,62.0
M08_033,8,16000000,64.0
M08_034,8,16500000,66.0
M08_035,8,17000000,68.0
M08_036,8,17500000,70.0
M08_037,8,18000000,72.0
M08_038,8,18500000,74.0
M08_039,8,19000000,76.0
M08_040,8,19500000,78.0
M08_041,8,20000000,80.0
M08_042,8,20500000,82.0
M08_043,8,21000000,84.0
M08_044,8,21500000,86.0
M08_045,8,22000000,88.0
M08_046,8,22500000,90.0
M08_047,8,23000000,92.0
M08_048,8,23500000,94.0
M08_049,8,24000000,96.0
M08_050,8,24500000,98.0
M09_001,9,0,0.0
M09_002,9,500000,2.0
M09_003,9,1000000,4.0
M09_004,9,1500000,6.0
M09_005,9,2000000,8.0
M09_006,9,2500000,10.0
M09_007,9,3000000,12.0
M09_008,9,3500000,14.0
M09_009,9,4000000,16.0
M09_010,9,4500000,18.0
M09_011,9,5000000,20.0
M09_012,9,5500000,22.0
M09_013,9,6000000,24.0
M09_014,9,6500000,26.0
M09_015,9,7000000,28.0
M09_016,9,7500000,30.0
M09_017,9,8000000,32.0
M09_018,9,8500000,34.0
M09_019,9,9000000,36.0
M09_020,9,9500000,38.0
M09_021,9,10000000,40.0
M09_022,9,10500000,42.0
M09_023,9,11000000,44.0
M09_024,9,11500000,46.0
M09_025,9,12000000,48.0
M09_026,9,12500000,50.0
M09_027,9,13000000,52.0
M09_028,9,13500000,54.0
M09_029,9,14000000,56.0
M09_030,9,14500000,58.0
M09_031,9,15000000,60.0
M09_032,9,15500000,62.0
M09_033,9,16000000,64.0
M09_034,9,16500000,66.0
M09_035,9,17000000,68.0
M09_036,9,17500000,70.0
M09_037,9,18000000,72.0
M09_038,9,18500000,74.0
M09_039,9,19000000,76.0
M09_040,9,19500000,78.0
M09_041,9,20000000,80.0
M09_042,9,20500000,82.0
M09_043,9,21000000,84.0
M09_044,9,21500000,86.0
M09_045,9,22000000,88.0
M09_046,9,22500000,90.0
M09_047,9,23000000,92.0
M09_048,9,23500000,94.0
M09_049,9,24000000,96.0
M09_050,9,24500000,98.0
M10_001,10,0,0.0
M10_002,10,500000,2.0
M10_003,10,1000000,4.0
M10_004,10,1500000,6.0
M10_005,10,2000000,8.0
M10_006,10,2500000,10.0
M10_007,10,3000000,12.0
M10_008,10,3500000,14.0
M10_009,10,4000000,16.0
M10_010,10,4500000,18.0
M10_011,10,5000000,20.0
M10_012,10,5500000,22.0
M10_013,10,6000000,24.0
M10_014,10,6500000,26.0
M10_015,10,7000000,28.0
M10_016,10,7500000,30.0
M10_017,10,8000000,32.0
M10_018,10,8500000,34.0
M10_019,10,9000000,36.0
M10_020,10,9500000,38.0
M10_021,10,10000000,40.0
M10_022,10,10500000,42.0
M10_023,10,11000000,44.0
M10_024,10,11500000,46.0
M10_025,10,12000000,48.0
M10_026,10,12500000,50.0
M10_027,10,13000000,52.0
M10_028,10,13500000,54.0
M10_029,10,14000000,56.0
M10_030,10,14500000,58.0
M10_031,10,15000000,60.0
M10_032,10,15500000,62.0
M10_033,10,16000000,64.0
M10_034,10,16500000,66.0
M10_035,10,17000000,68.0
M10_036,10,17500000,70.0
M10_037,10,18000000,72.0
M10_038,10,18500000,74.0
M10_039,10,19000000,76.0
M10_040,10,19500000,78.0
M10_041,10,20000000,80.0
M10_042,10,20500000,82.0
M10_043,10,21000000,84.0
M10_044,10,21500000,86.0
M10_045,10,22000000,88.0
M10_046,10,22500000,90.0
M10_047,10,23000000,92.0
M10_048,10,23500000,94.0
M10_049,10,24000000,96.0
M10_050,10,24500000,98.0
M11_001,11,0,0.0
M11_002,11,500000,2.0
M11_003,11,1000000,4.0
M11_004,11,1500000,6.0
M11_005,11,2000000,8.0
M11_006,11,2500000,10.0
M11_007,11,3000000,12.0
M11_008,11,3500000,14.0
M11_009,11,4000000,16.0
M11_010,11,4500000,18.0
M11_011,11,5000000,20.0
M11_012,11,5500000,22.0
M11_013,11,6000000,24.0
M11_014,11,6500000,26.0
M11_015,11,7000000,28.0
M11_016,11,7500000,30.0
M11_017,11,8000000,32.0
M11_018,11,8500000,34.0
M11_019,11,9000000,36.0
M11_020,11,9500000,38.0
M11_021,11,10000000,40.0
M11_022,11,10500000,42.0
M11_023,11,11000000,44.0
M11_024,11,11500000,46.0
M11_025,11,12000000,48.0
M11_026,11,12500000,50.0
M11_027,11,13000000,52.0
M11_028,11,13500000,54.0
M11_029,11,14000000,56.0
M11_030,11,14500000,58.0
M11_031,11,15000000,60.0
M11_032,11,15500000,62.0
M11_033,11,16000000,64.0
M11_034,11,16500000,66.0
M11_035,11,17000000,68.0
M11_036,11,17500000,70.0
M11_037,11,18000000,72.0
M11_038,11,18500000,74.0
M11_039,11,19000000,76.0
M11_040,11,19500000,78.0
M11_041,11,20000000,80.0
M11_042,11,20500000,82.0
M11_043,11,21000000,84.0
M11_044,11,21500000,86.0
M11_045,11,22000000,88.0
M11_046,11,22500000,90.0
M11_047,11,23000000,92.0
M11_048,11,23500000,94.0
M11_049,11,24000000,96.0
M11_050,11,24500000,98.0
M12_001,12,0,0.0
M12_002,12,500000,2.0
M12_003,12,1000000,4.0
M12_004,12,1500000,6.0
M12_005,12,2000000,8.0
M12_006,12,2500000,10.0
M12_007,12,3000000,12.0
M12_008,12,3500000,14.0
M12_009,12,4000000,16.0
M12_010,12,4500000,18.0
M12_011,12,5000000,20.0
M12_012,12,5500000,22.0
M12_013,12,6000000,24.0
M12_014,12,6500000,26.0
M12_015,12,7000000,28.0
M12_016,12,7500000,30.0
M12_017,12,8000000,32.0
M12_018,12,8500000,34.0
M12_019,12,9000000,36.0
M12_020,12,9500000,38.0
M12_021,12,10000000,40.0
M12_022,12,10500000,42.0
M12_023,12,11000000,44.0
M12_024,12,11500000,46.0
M12_025,12,12000000,48.0
M12_026,12,12500000,50.0
M12_027,12,13000000,52.0
M12_028,12,13500000,54.0
M12_029,12,14000000,56.0
M12_030,12,14500000,58.0
M12_031,12,15000000,60.0
M12_032,12,15500000,62.0
M12_033,12,16000000,64.0
M12_034,12,16500000,66.0
M12_035,12,17000000,68.0
M12_036,12,17500000,70.0
M12_037,12,18000000,72.0
M12_038,12,18500000,74.0
M12_039,12,19000000,76.0
M12_040,12,19500000,78.0
M12_041,12,20000000,80.0
M12_042,12,20500000,82.0
M12_043,12,21000000,84.0
M12_044,12,21500000,86.0
M12_045,12,22000000,88.0
M12_046,12,22500000,90.0
M12_047,12,23000000,92.0
M12_048,12,23500000,94.0
M12_049,12,24000000,96.0
M12_050,12,24500000,98.0
