Marker,Chr,bp,cM
M06_014,6,8125000,32.5
M06_015,6,8750000,35.0
M06_016,6,9375000,37.5
M06_017,6,10000000,40.0
M06_018,6,10625000,42.5
M06_019,6,11250000,45.0
M06_020,6,11875000,47.5
M06_021,6,12500000,50.0
M06_022,6,13125000,52.5
M06_023,6,13750000,55.0
M06_024,6,14375000,57.5
M06_025,6,15000000,60.0
M06_026,6,15625000,62.5
M06_027,6,16250000,65.0
M06_028,6,16875000,67.5
M06_029,6,17500000,70.0
M06_030,6,18125000,72.5
M06_031,6,18750000,75.0
M06_032,6,19375000,77.5
M06_033,6,20000000,80.0
M06_034,6,20625000,82.5
M06_035,6,21250000,85.0
M06_036,6,21875000,87.5
M06_037,6,22500000,90.0
M06_038,6,23125000,92.5
M06_039,6,23750000,95.0
M06_040,6,24375000,97.5
M07_001,7,0,0.0
M07_002,7,625000,2.5
M07_003,7,1250000,5.0
M07_004,7,1875000,7.5
M07_005,7,2500000,10.0
M07_006,7,3125000,12.5
M07_007,7,3750000,15.0
M07_008,7,4375000,17.5
M07_009,7,5000000,20.0
M07_010,7,5625000,22.5
M07_011,7,6250000,25.0
M07_012,7,6875000,27.5
M07_013,7,7500000,30.0
M07_014,7,8125000,32.5
M07_015,7,8750000,35.0
M07_016,7,9375000,37.5
M07_017,7,10000000,40.0
M07_018,7,10625000,42.5
M07_019,7,11250000,45.0
M07_020,7,11875000,47.5
M07_021,7,12500000,50.0
M07_022,7,13125000,52.5
M07_023,7,13750000,55.0
M07_024,7,14375000,57.5
M07_025,7,15000000,60.0
M07_026,7,15625000,62.5
M07_027,7,16250000,65.0
M07_028,7,16875000,67.5
M07_029,7,17500000,70.0
M07_030,7,18125000,72.5
M07_031,7,18750000,75.0
M07_032,7,19375000,77.5
M07_033,7,20000000,80.0
M07_034,7,20625000,82.5
M07_035,7,21250000,85.0
M07_036,7,21875000,87.5
M07_037,7,22500000,90.0
M07_038,7,23125000,92.5
M07_039,7,23750000,95.0
M07_040,7,24375000,97.5
M08_001,8,0,0.0
M08_002,8,625000,2.5
M08_003,8,1250000,5.0
M08_004,8,1875000,7.5
M08_005,8,2500000,10.0
M08_006,8,3125000,12.5
M08_007,8,3750000,15.0
M08_008,8,4375000,17.5
M08_009,8,5000000,20.0
M08_010,8,5625000,22.5
M08_011,8,6250000,25.0
M08_012,8,6875000,27.5
M08_013,8,7500000,30.0
M08_014,8,8125000,32.5
M08_015,8,8750000,35.0
M08_016,8,9375000,37.5
M08_017,8,10000000,40.0
M08_018,8,10625000,42.5
M08_019,8,11250000,45.0
M08_020,8,11875000,47.5
M08_021,8,12500000,50.0
M08_022,8,13125000,52.5
M08_023,8,13750000,55.0
M08_024,8,14375000,57.5
M08_025,8,15000000,60.0
M08_026,8,15625000,62.5
M08_027,8,16250000,65.0
M08_028,8,16875000,67.5
M08_029,8,17500000,70.0
M08_030,8,18125000,72.5
M08_031,8,18750000,75.0
M08_032,8,19375000,77.5
M08_033,8,20000000,80.0
M08_034,8,20625000,82.5
M08_035,8,21250000,85.0
M08_036,8,21875000,87.5
M08_037,8,22500000,90.0
M08_038,8,23125000,92.5
M08_039,8,23750000,95.0
M08_040,8,24375000,97.5
M09_001,9,0,0.0
M09_002,9,625000,2.5
M09_003,9,1250000,5.0
M09_004,9,1875000,7.5
M09_005,9,2500000,10.0
M09_006,9,3125000,12.5
M09_007,9,3750000,15.0
M09_008,9,4375000,17.5
M09_009,9,5000000,20.0
M09_010,9,5625000,22.5
M09_011,9,6250000,25.0
M09_012,9,6875000,27.5
M09_013,9,7500000,30.0
M09_014,9,8125000,32.5
M09_015,9,8750000,35.0
M09_016,9,9375000,37.5
M09_017,9,10000000,40.0
M09_018,9,10625000,42.5
M09_019,9,11250000,45.0
M09_020,9,11875000,47.5
M09_021,9,12500000,50.0
M09_022,9,13125000,52.5
M09_023,9,13750000,55.0
M09_024,9,14375000,57.5
M09_025,9,15000000,60.0
M09_026,9,15625000,62.5
M09_027,9,16250000,65.0
M09_028,9,16875000,67.5
M09_029,9,17500000,70.0
M09_030,9,18125000,72.5
M09_031,9,18750000,75.0
M09_032,9,19375000,77.5
M09_033,9,20000000,80.0
M09_034,9,20625000,82.5
M09_035,9,21250000,85.0
M09_036,9,21875000,87.5
M09_037,9,22500000,90.0
M09_038,9,23125000,92.5
M09_039,9,23750000,95.0
M09_040,9,24375000,97.5
M10_001,10,0,0.0
M10_002,10,625000,2.5
M10_003,10,1250000,5.0
M10_004,10,1875000,7.5
M10_005,10,2500000,10.0
M10_006,10,3125000,12.5
M10_007,10,3750000,15.0
M10_008,10,4375000,17.5
M10_009,10,5000000,20.0
M10_010,10,5625000,22.5
M10_011,10,6250000,25.0
M10_012,10,6875000,27.5
M10_013,10,7500000,30.0
M10_014,10,8125000,32.5
M10_015,10,8750000,35.0
M10_016,10,9375000,37.5
M10_017,10,10000000,40.0
M10_018,10,10625000,42.5
M10_019,10,11250000,45.0
M10_020,10,11875000,47.5
M10_021,10,12500000,50.0
M10_022,10,13125000,52.5
M10_023,10,13750000,55.0
M10_024,10,14375000,57.5
M10_025,10,15000000,60.0
M10_026,10,15625000,62.5
M10_027,10,16250000,65.0
M10_028,10,16875000,67.5
M10_029,10,17500000,70.0
M10_030,10,18125000,72.5
M10_031,10,18750000,75.0
M10_032,10,19375000,77.5
M10_033,10,20000000,80.0
M10_034,10,20625000,82.5
M10_035,10,21250000,85.0
M10_036,10,21875000,87.5
M10_037,10,22500000,90.0
M10_038,10,23125000,92.5
M10_039,10,23750000,95.0
M10_040,10,24375000,97.5
M11_001,11,0,0.0
M11_002,11,625000,2.5
M11_003,11,1250000,5.0
M11_004,11,1875000,7.5
M11_005,11,2500000,10.0
M11_006,11,3125000,12.5
M11_007,11,3750000,15.0
M11_008,11,4375000,17.5
M11_009,11,5000000,20.0
M11_010,11,5625000,22.5
M11_011,11,6250000,25.0
M11_012,11,6875000,27.5
M11_013,11,7500000,30.0
M11_014,11,8125000,32.5
M11_015,11,8750000,35.0
M11_016,11,9375000,37.5
M11_017,11,10000000,40.0
M11_018,11,10625000,42.5
M11_019,11,11250000,45.0
M11_020,11,11875000,47.5
M11_021,11,12500000,50.0
M11_022,11,13125000,52.5
M11_023,11,13750000,55.0
M11_024,11,14375000,57.5
M11_025,11,15000000,60.0
M11_026,11,15625000,62.5
M11_027,11,16250000,65.0
M11_028,11,16875000,67.5
M11_029,11,17500000,70.0
M11_030,11,18125000,72.5
M11_031,11,18750000,75.0
M11_032,11,19375000,77.5
M11_033,11,20000000,80.0
M11_034,11,20625000,82.5
M11_035,11,21250000,85.0
M11_036,11,21875000,87.5
M11_037,11,22500000,90.0
M11_038,11,23125000,92.5
M11_039,11,23750000,95.0
M11_040,11,24375000,97.5
M12_001,12,0,0.0
M12_002,12,625000,2.5
M12_003,12,1250000,5.0
M12_004,12,1875000,7.5
M12_005,12,2500000,10.0
M12_006,12,3125000,12.5
M12_007,12,3750000,15.0
M12_008,12,4375000,17.5
M12_009,12,5000000,20.0
M12_010,12,5625000,22.5
M12_011,12,6250000,25.0
M12_012,12,6875000,27.5
M12_013,12,7500000,30.0
M12_014,12,8125000,32.5
M12_015,12,8750000,35.0
M12_016,12,9375000,37.5
M12_017,12,10000000,40.0
M12_018,12,10625000,42.5
M12_019,12,11250000,45.0
M12_020,12,11875000,47.5
M12_021,12,12500000,50.0
M12_022,12,13125000,52.5
M12_023,12,13750000,55.0
M12_024,12,14375000,57.5
M12_025,12,15000000,60.0
M12_026,12,15625000,62.5
M12_027,12,16250000,65.0
M12_028,12,16875000,67.5
M12_029,12,17500000,70.0
M12_030,12,18125000,72.5
M12_031,12,18750000,75.0
M12_032,12,19375000,77.5
M12_033,12,20000000,80.0
M12_034,12,20625000,82.5
M12_035,12,21250000,85.0
M12_036,12,21875000,87.5
M12_037,12,22500000,90.0
M12_038,12,23125000,92.5
M12_039,12,23750000,95.0
M12_040,12,24375000,97.5
